PH1,PH2,PH3,PH4,PH5,PH6,PH7,PH8,PH9,PH10,PH11,PH12,PH13,PH14,PH15
1,1,1,1,1,1,1, 0.883580890179972, 0.603345531201319, 0.375127882108192, 0.308847756666818, 0.487789540914476, 0.834305025334503,1,1
1,1,1,1,1,1,1, 0.858869245120382, 0.550098756547041, 0.356837731387008, 0.362492860969901, 0.560521328365033, 0.863636687355480,1,1
1,1,1,1,1,1,1, 0.870322725702414, 0.591038745486391, 0.421437653644205, 0.416528242352409, 0.581284877205697, 0.865478268713516,1,1
1,1,1, 0.891727243995184, 0.783454487990368, 0.891727243995184,1, 0.865044448052065, 0.603033060953474, 0.496153793394193, 0.643386196136222, 0.885221015643439,1,1,1
1,1,1, 0.891082113139074, 0.782164226278147, 0.891082113139074,1, 0.861630528616435, 0.592017755704448, 0.480553598168801, 0.631576043690000, 0.881409672609211,1,1,1
1,1, 0.892522055647689, 0.650863200278493, 0.510173573635142, 0.637845769025561, 0.886013340021223, 0.860366703778135, 0.610695741284951, 0.640291371235497, 0.889962333728681,1,1,1,1
1,1, 0.894476250446985, 0.653319108345157, 0.504638429220863, 0.627224535194195, 0.881428963871504, 0.853776440289327, 0.590556018797500, 0.619782716727019, 0.883003138218846,1,1,1,1
1,1, 0.896357080987003, 0.656182544422276, 0.501011663253472, 0.618904017188128, 0.877717817369929, 0.848263539286387, 0.573641796769552, 0.602492975679944, 0.877114718196779,1,1,1,1
1,1, 0.890127752691705, 0.612641491932961, 0.427870780872689, 0.578328096713317, 0.769236229231124, 0.666344741933907, 0.643893961420090, 0.873814393635425,1,1,1,1,1
1,1, 0.890228239340455, 0.612181047676654, 0.425586688171167, 0.575543190674191, 0.767235305025542, 0.663205630007187, 0.640433277455418, 0.872553641634549,1,1,1,1,1
1,1, 0.897312957572096, 0.629648139342152, 0.443234432175716, 0.586776276613358, 0.765855904604327, 0.661448814261418, 0.652960993332951, 0.881491057468161,1,1,1,1,1
1,1, 0.897262145886122, 0.631601909450649, 0.450296624666001, 0.594836104524545, 0.771630436418462, 0.670411625684874, 0.662569672383572, 0.884909239694090,1,1,1,1,1
1,1, 0.897351500272266, 0.635653379458275, 0.463513315226876, 0.609472493167992, 0.781997026564829, 0.686451310645894, 0.679694712978675, 0.890979371770485,1,1,1,1,1
1,1, 0.897676080964814, 0.640475423849029, 0.477679811140531, 0.624637674593232, 0.889757206336915, 0.897111664376962, 0.794223328753923, 0.897111664376962,1,1,1,1,1
